Exports in October stood at $5.29 billion, a mere 0.7% increase from a year earlier,	imports increased sharply to $5.39 billion, up 20% from last October.	2	while
the strings it attached to the financing hadn't been made public until yesterday.	many of the risks were anticipated when Minneapolis-based Cray Research first announced the spinoff in May,	2	while
giving it court protection from creditors' lawsuits 	it attempts to work out a plan to pay its debts.	3	while
It does lead you to suspect imports are going down, or at least not increasing that much.	one month's figures don't prove a trend,	2	while
whom Sony hosted for a year 	he was on a Luce Fellowship in Tokyo 	3	while
Mr. Courter's long nose shrinks 	Mr. Florio's grows.	3	while
they also convey an undertone of caution.	U.S. officials voice optimism about Japan's enlarged role in Asia,	2	while
she spotted a student looking at crib sheets.	giving the Comprehensive Test of Basic Skills to ninth graders at Greenville High School last March 16,	3	while
Mrs. Yeargin worked 14-hour days and fast became a student favorite.	Mrs. Ward fired and restructured staff and struggled to improve curriculum,	3	while
that Japanese demand has helped underpin the dollar against the yen and has kept the U.S. currency from plunging below key levels against the mark.	market sentiment remains cautiously bearish on the dollar based on sluggish U.S. economic indicators,	2	while
that 	the mark has posted significant gains against the yen as well 	2	while
Chateau Yquem, the leading Sauternes, now goes for well over $100 a bottle for a lighter vintage like 1984;	the spectacularly rich 1983 runs $179.	2	while
Georgia Gulf stock rose $1.75 a share yesterday to close at $51.25 a share,	NL shares closed unchanged at $22.75 and Valhi rose 62.5 cents to $15, all in New York Stock Exchange composite trading.	2	while
Dr. Kligman patented the medicine 	employed by the University,	3	while
The U.S. wants the removal of what it perceives as barriers to investment;	Japan denies there are real barriers.	2	while
a number of other important economic issues will be on the table at next week's talks.	the question of investors' access to the U.S. and Japanese markets may get a disproportionate share of the public's attention,	2	while
After the first set of meetings two months ago, some U.S. officials complained that Japan hadn't come up with specific changes it was prepared to make.	The Japanese retort that the first round was too early to make concessions.	2	while
Japan's big trading companies are rapidly increasing their stake in America's smaller business.	worry grows about big Japanese investments in the U.S.	3	while
they add to Japanese penetration of the U.S. market.	the small deals are far less conspicuous,	2	while
An active 55-year-old in Boca Raton may care more about Senior Olympic games,	a 75-year-old in Panama City may care more about a seminar on health,	2	while
The parishioners of St. Michael and All Angels stop to chat at the church door, as members here always have.	In the tower, five men and women pull rhythmically on ropes attached to the same five bells that first sounded here in 1614.	3	while
No one speaks, and the snaking of the ropes seems to make as much sound as the bells themselves, muffled by the ceiling.	"Totally absorbed, the ringers stare straight ahead, using peripheral vision (they call it ""rope-sight"") to watch the other ropes and thus time their pulls."	3	while
the ringers stare straight ahead,	"using peripheral vision (they call it ""rope-sight"") to watch the other ropes and thus time their pulls."	3	while
ringers often skip off to the local pub,	leaving worship for others below.	3	while
making a very obvious exit 	the congregation is at prayer,	3	while
their expansion hasn't kept pace with even stronger advances in stock prices.	dividends have risen smartly,	2	while
they are not excessive relative to the underlying corporate strength.	stock prices may look fairly high relative to dividends,	2	while
a further slippage in the number of dividend increases could be a harbinger of slower dividend growth next year.	the S&P tally doesn't measure the magnitude of dividend changes,	2	while
Among liberals, 60% have positive views of her,	50% approve of the president's job performance.	2	while
only 15% have a negative view of his spouse.	a quarter of black voters disapprove of Mr. Bush's handling of his job,	2	while
Triton and Mr. Chase consented to findings of violations in connection with limited-partnership sales.	neither admitting nor denying wrongdoing,	2	while
Advocates said the 90-cent-an-hour rise, to $4.25 an hour by April 1991, is too small for the working poor,	opponents argued that the increase will still hurt small business and cost many thousands of jobs.	2	while
the level of $4.25 an hour in 1991 will still be less than 35% of average factory pay,	the minimum wage had traditionally been pegged at half the average U.S. manufacturing wage,	2	while
whom Mr. Hahn had met 	fundraising for the institute.	3	while
But Mr. Hahn rose swiftly through the ranks,	demonstrating a raw intelligence that he says he knew he possessed early on.	3	while
building up the pulp and paper segment of the company 	refocusing building products on home repair and remodeling, rather than materials for new-home construction.	3	while
and 	more ambitious authorizing legislation is still pending,	3	while
The bottom half of the railing will be type F,	the top half will have the old bridge's floral pattern.	2	while
it isn't recyclable.	it breaks down in prolonged sunlight,	2	while
It would ease jail overcrowding 	preserving historic structures,	3	while
the measure hasn't yet come to the full floor.	the Senate Commerce Committee has approved legislation similar to the House bill on airline leveraged buy-outs,	2	while
and,	the agency position is that persons may not take verbatim notes,	2	while
that 	Random House has enjoyed spectacular growth and has smoothly integrated many acquisitions in recent years,	2	while
Possible candidates include Susan Petersen, president of Ballantine/Del Rey/ Fawcett, Random House's huge and successful paperback division.	Some say Anthony Cheetham, head of a recently acquired British company, Century Hutchinson, could be chosen.	2	while
it will obviously be very persuasive in other cases of a similar nature,	this court ruling was only on Hammersmith,	2	while
Arbitrage simply transfers his selling pressure from Chicago to New York,	functioning as a buyer in Chicago.	3	while
"the fundamental stock pickers scream ""foul"" on program trading when the markets decline,"	hailing the great values still abounding as the markets rise.	2	while
They continually advise their clients on which individual stocks to buy or sell,	their clients continue to hope for superior performance.	3	while
Even with mutual funds, the little investor continues to tolerate high fees, high commissions and poor performance,	index-fund managers slowly amass a better record with lower fees, lower commissions and less risk.	2	while
to pursue stellar performers first,	leaving institutions to grapple with basis points of performance on large sums of money quarter by quarter.	3	while
But the 1989 fall total of 80,	well below 1988 activity,	2	while
there was a one-time gain of #18 million in the 1988 period.	there were no one-time gains or losses in the latest period,	2	while
And 	there was no profit this year from discontinued operations,	2	while
some win the legal lottery,	others get much less 	2	while
to help such victims 	protecting the national interest in encouraging new drugs.	3	while
that orders for manufactured goods were essentially unchanged in September 	construction spending was slightly lower.	2	while
The Philadelphia and Cleveland districts, for example, reported declines in manufacturing activity 	the Boston, Dallas and San Francisco banks noted that business expanded.	2	while
A reading below 50% indicates that the manufacturing sector is slowing 	a reading above 50% suggests that the industry is expanding.	2	while
The discount rate on three-month Treasury bills was essentially unchanged at 7.79%,	the rate on six-month bills was slightly lower at 7.52% compared with 7.60% Tuesday.	2	while
that investment-grade bonds posted a total return of 2.7% in October 	junk bonds showed a negative return of 1.5%.	2	while
it might not win the support of utilities, many in the West, that already have added expensive cleanup equipment or burn cleaner-burning fuels.	the new proposal might appeal to the dirtiest utilities,	2	while
Buying or selling baskets of stocks 	at the same time executing offsetting trades in stock-index futures or options.	3	while
The July delivery rose its daily permissible limit of 0.50 cent a pound to 14.00 cents,	other contract months showed near-limit advances.	2	while
profit-taking weighed on the market, with blue-chips bearing the brunt of the selling.	renewed optimism about the outlook for takeover activity boosted several so-called deal stocks,	2	while
Ortega indicated that renewed U.S. military aid to the Contras could thwart the balloting.	he reaffirmed support for the country's Feb. 25 elections,	2	while
anti-abortionists oppose the research.	researchers believe such transplants could help treat diseases like Alzheimer's,	2	while
Sales rose 11% to 292.32 billion yen from 263.07 billion yen.	Net income surged 31% to 7.63 billion yen from 5.82 billion yen.	3	while
Factory orders and construction outlays were largely flat in September,	manufacturing shrank further in October.	2	while
Mr. Spiegel is mulling such a plan to mitigate Columbia's junk problems.	many problems would attend a restructuring of Columbia,	2	while
But Columbia's good bank would be a regulated thrift,	the bad bank would be a private investment company,	2	while
a restructuring isn't feasible 	the SEC still is scrutinizing Mr. Spiegel's past junk-bond trades.	3	while
to focus on its core metals trading, processing and plant engineering activities 	shedding peripheral units,	3	while
in the continuing deterioration of the company's operations 	it attempted to conclude the reorganization during the past four months.	3	while
Heating oil for November delivery ended at 58.64 cents a gallon, up one cent on the New York Mercantile Exchange.	West Texas Intermediate for December delivery advanced 22 cents to $19.94 a barrel.	3	while
A reading below 50% generally indicates a slowing in the industrial sector of the economy,	a reading above 50% points to expansion.	2	while
The recent quarter includes pretax gains of $98 million from asset sales,	like gains in the year-earlier quarter totaled $61 million.	2	while
the two then chanted and chortled their way through some murderous polyrhythms, devised by Mr. Douglas as an alternative to Hindemith's dry theory-teaching techniques,	Keeping the mood light,	3	while
because pollination,	easy in corn because the carrier is wind,	2	while
Bert Campaneris, once Oakland's master thief, effortlessly scoops up a groundball and flips it to second.	Crouched at shortstop,	3	while
he had the idea last January 	lying on a beach in Australia.	3	while
"My fastball is good. Real good,"" says 39-year-old Pete Broberg,"	working in the midday heat of the Tropics camp.	3	while
he vividly recounts getting the Red Sox's Carl Yastrzemski to pop out to end the 1975 World Series, and repeating the feat against the Yankees' Roy White in 1976.	sipping a beer after practice,	3	while
Some have been training for months;	others only recently left active status.	2	while
"Still, ""how sweet it is,"" he says,"	savoring the fat sound of the well-hit line drive that bounces off the center field wall.	3	while
he admits the fastball he brought into the majors in 1955 has become a slowball.	Stuffing a wad of Red Man into his cheek,	3	while
London shares also rose,	trading in Frankfurt, West Germany, ended higher.	3	while
Advancing issues outnumbered decliners 542 to 362,	208 issues were unchanged.	2	while
Elsewhere, share prices closed higher in Amsterdam, Brussels, Milan and Paris.	Prices were mixed in Zurich and lower in Stockholm.	3	while
A figure above 50 indicates the economy is likely to expand;	one below 50 indicates a contraction may be ahead.	2	while
In between came lots of coffee drinking 	watching the balloons inflate 	3	while
and lots of standing around 	deciding who would fly in what balloon and in what order (the baskets hold no more than four passengers).	3	while
of drifting above the Vosges 	watching the silver mists rise off the river and the French cows amble about the fields.	3	while
"You bet attention,"" I yelled back,"	leaping atop the propane tanks,	3	while
where we had the exquisite pleasure of scrambling out of the basket into the mud 	the French half of our ballooning tag team scrambled in.	3	while
where we watched a few French duffers maul the first tee 	we sat under Cinzano umbrellas,	3	while
the Soviets would have to destroy some 1,800 tanks,	the U.S. would lose none 	2	while
Under the compromise, the $4.25 level would be reached nine months earlier,	the training subminimum would be shorter, unless it is tied to a training plan.	2	while
that the training wage was a way of allowing employers to pay less than the minimum wage,	new workers need far less than six months to be trained for their jobs.	2	while
that 61% don't expect a recession to occur until 1991 or later.	The remainder expect a downturn to begin sometime in 	2	while
it reflects the vulnerability of many small communities to domineering judges.	his case may be extreme,	2	while
that the judge once called her to his office 	wearing nothing at all.	3	while
However, the maximum coupon at which the notes can be reset is 16 1/4%.	The minimum coupon is 13 3/4%.	2	while
that the government would support them if necessary.	they aren't backed by the full faith and credit of the U.S. government,	2	while
his libel suit seeks 10 million Canadian dollars (US$8.5 million) from Canadian Express and Hees executives Manfred Walt and Willard L'Heureux.	his suit against Enfield seeks two years severance pay, equivalent to C$720,000.	2	while
to stroll the aisles 	sporting their jewels,	3	while
A three-judge panel of the court in Cincinnati made the ruling Saturday.	The UAW is seeking a hearing by the full 14-judge panel.	2	while
So far, Nissan's new-model successes are mostly specialized vehicles with limited sales potential.	In compact and subcompact cars, the bread-and-butter sales generators for Japanese auto makers, Nissan still trails Toyota and Honda.	2	while
Mr. Bush drafted a letter to Mr. Gorbachev suggesting an informal get-together to precede their formal summit next year.	flying home from those discussions,	2	while
At best, demonstrations are overused and boringly uninformative;	at worst, they can become the stimuli that lead to law breaking.	2	while
THE MILEAGE RATE allowed for business use of a car in 1989 has risen to 25.5 cents a mile for the first 15,000 from 24 cents in 1988,	the rate stays 11 cents for each added mile.	2	while
the Soviet Union,	falling far short of the efficiency of a Western economy,	2	while
Half of those polled see the currency trending lower over the next three months,	the others forecast a modest rebound after the New Year.	2	while
Those with a bullish view see the dollar trading up near 1.9000 marks and 145 yen,	the dollar bears see the U.S. currency trading around 1.7600 marks and 138 yen.	2	while
they echo a 1987 incident in which Bankers Trust New York Corp. restated the value of its foreign exchange options contracts downward by about $80 million.	the incidents involving interest-rate options and forward-rate agreements are unrelated,	2	while
that 	acquiring a big brand-name company can be a shortcut to growth,	2	while
he could easily merge Pinkerton's operations with his own 	slashing overhead costs 	3	while
Detached from all other thoughts 	trying to reach a decision.	3	while
that such standards will improve treatment 	limiting unnecessary tests and medical procedures.	3	while
to shut down three Toronto-area plants,	moving their fastener operations to a leased facility in Brantford, Ontario.	3	while
because the company uses its own sales organization 	Nekoosa employs higher-cost agents.	2	while
In the 12 months ended in September, wages and salaries of private-sector workers rose 4.4%, while health insurance costs spurted by 13.7%.	The consumer price index climbed 4.3% in the same period.	2	while
rallies in the group historically have lifted the market,	weakness in the sector often sank unlisted share prices broadly.	2	while
And 	pursuing these initiatives,	3	while
one makes 	heading for the door.	3	while
And 	customers such as steel service centers are continuing to reduce inventories through the fourth quarter,	2	while
that a presidential rejection would give their party a valuable issue in next year's congressional elections.	that could make it vulnerable to a veto by Mr. Bush,	2	while
Shaw Industries, which agreed to acquire Armstrong World Industries' carpet operations for an undisclosed price, rose 2 1/4 to 26 1/8.	Armstrong added 1/8 to 39 1/8.	3	while
military authorities said they had confiscated the equivalent of more than $1.5 million to make up for the unpaid taxes.	residents claimed a victory,	2	while
The basket product,	it has got off to a slow start,	2	while
Volatility is greater than program trading.	volatility won't go away,	2	while
A reading below 50% indicates that the manufacturing industry is slowing 	a reading above 50% suggests that the industry is expanding.	2	while
