you want	they are lying want	1	if
he 's black	everyone hates him 's	0	because
you could get by with only one car instead of two	How much money could you save get ?	1	if
you and your family celebrate the 230 th Anniversary of the founding of our great nation	Dear Fellow American , This 4 th of July , celebrate , there 's one party you will n't be invited to ...	3	while
he refused to give a timetable for his departure	"Mr Blair seemed "" oblivious "" to the damage being done to the Government refused"	3	while
Iran has not yet produced atomic bombs	The crisis over Iran 's atomic program escalates produced .	2	though
relief gives way to recovery	In the longer term , a gradual transition from general food distributions to food - and cash - for - work activities is planned , gives .	3	as
i went on the sunbeds	whether i would burn went	1	if
they do n't want to come down	and want you just walk away	1	if
you do n't	as if you have a magical crystal ball do	0	because
we lose independence , mobility , and as chronic pain sets in	Firefly , aging is an assault upon the ego , lose .	3	as
RESIDENTS TRY TO FLEE STORM CELL	TRY , TORNADO TRACKERS PURSUE IT	3	as
President Harry Truman ate his lunch on the Augusta with fellow mass murderers Winston Churchill and Joseph Stalin	And ate , news of the bombing of Hiroshima came in .	3	as
our road expenditures nowhere near match the increase in business or state domestic product	match , it is no wonder we suffer congestion problems .	0	since
they do n't believe government should provide them with free contraception with money confiscated by government guns	Republicans are against women 's health believe .	0	because
Obama does not get re - elected	he gets elected get	1	if
America is so good go	those dogs , is find your American illegitimate fathers	1	if
a legitimate group of survivors families asks for respect	asks , then a religion of peace should honor that .	1	if
I thought that was killing unborn babies	if I killed a woman on birth control thought	0	because
such is possible	which would render such a rape not in need of immediate intervention is	1	if
you meant something different	meant , BP went back into profit only a few months after the Gulf of Mexico spill .	1	unless
we were walking to the taxi	Anyway he caught up with us walking , he ended up arguing with me mainly , he went to punch me , my friend pushed me out of the way , and then he punched her in the face .	3	as
anybody says to get	"All these Holocaust lobbyists get furious says Jews are n't the only tribe genocided , but that 's just politics - "" Our genocide is better than your genocide ! """	1	if
OO 's used to think we were the Catholic Church	We used , but today , the fourth and fifth councils held at Ephesus are not considered ecumenical , since the EO counterparts also held Orthodox faith in their last four councils .	3	as
i 'd like to use this example to revisit the discussion	she had n't left the forum like	0	because
Libya enjoys remarkable levels of sunshine all year long	that than Libya should logically give priority to solar energy enjoys	0	because
