Because not everything gets < funded >	funded , we < go > to war with the military we have and not the military we want .	0	because
If you < had > no living relatives and you < had > no will directing a charity or something to leave your wealth to	had , I could < see > the government taking it .	1	if
If this < was > any weaker	was , it would < look > like swiss cheese with all the holes in it .	1	if
because she < shouts > at me	I can n't < do > work at home , shouts .	0	because
if you have n't < noticed >	I mean , noticed , Obama 's been systematically < removing > all possibilities of RW talking points and attacks against him and the left with his Presidency .	1	if
if you < believe > conservative propaganda	and thus believe , it < makes > him lazy and dependent	1	if
and , since many low - income AF - Am and Mexican - American kids < had > parents whose jobs were not M - F 9 - 5 , and who could not come to the special activities on evenings and weekends because of their often multiple jobs , their participation was minimal or nil .	Much of it < depended > on family participation had	0	since
If we 're < going > to import anything	going it should < be > talent , qualification , entrepreneurialism .	1	if
because the longer this < goes > with media attention	goes the more Trayvon will not < look > like an angel but a child who did not have any parental guidance	0	because
If this current trend < continues >	continues , a whole generation or two will be < lost > .	1	if
if you 'd < like >	I can still < smack > you around like .	1	if
because you < have > bacon burger Fridays in your own house back on your property	I < am > mad have	0	because
if you do n't < get > planning approval	get the site could actually < be > worth a negative amount	1	if
  If you < confiscate > Exxon Mobil 's profits	confiscate , you < reduce > the capital available to the world 's largest oil company to invest in more exploratory drilling , new oil wells , new pipelines , new refineries , etc .	1	if
maybe if we had < talked > about lighter stuff more and a lot of this stuff less	"and talked , we would n't < have > so many issues with "" Liberals are blah blah blah "" or "" Conservatives are blah blah blah"	1	if
because he < 's > not a contender	I do n't < need > to now 's	0	because
because they do n't < float > on water	when your own nation was < burning > people on the stake float	0	because
because I < 'm > confident	but 'm I can < return > it	0	because
"if she < said > , "" Clarance , Great Guy "" like everyone else who was asked about Judge Thomas by the FBI"	Well , said , she would n't have gotten < supeoned > .	1	if
as I was < walking > past someone	When I < was > in New York last summer walking	3	as
because my roomate is < watching > the Masters on TV	I 'm < sitting > here pulling my hair out watching .	0	because
If your house < burns > down	burns , you < are > responsible for repairs along with whatever insurance and local charities wil pay	1	if
if they < satisfy > the membership agreement	"Unless the topic is very different from the "" general "" discussion , new threads and posts about global warming will be < moved > to that thread satisfy ."	1	if
if something < went > wrong	went , they could < end > up in prison , or even endanger their lives	1	if
if he did n't < believe > your conspiracies	And how much would those credentials < mean > believe ?	1	if
because you are < distracted >	Because of the nature of the military and close quarters shared especially among men in war simulation , training and actual warfare the distraction of having someone who you know may be attracted to you can ultimately < cause > death distracted .	0	because
"while libertarianism < attracts > people who want to be "" free """	So < attracts > it also < attracts > cheap assholes who do n't want to pay their fair share .	3	while
even though Hong Kong people < have > their grumbles	"However , have , the "" two states theory "" < has > in no way triggered a sentimental attachment in Hong Kong people for "" Old China "" ."	2	even-though
because the RCC is < founded > on religious beliefs	but I can < understand > the Catholic apologetics like Donahue in the wake of the RCC scandal , founded	0	because
if we did < break > up	and that break , she 'd have < gained > a lot more than I did as a result	1	if
Since none of the incumbents in my district will < get > my vote	get , I < guess > you could say I 'm voting ' against ' them , but I 'm still not comfortable with that term .	0	since
because they < know > it ’s illegal to use taxpayers ’ funds to subsidize abortion	No , they < do > n’t , know .	0	because
Once a powerful earthquake < strikes >	strikes , the people 's lives really do < become > as tiny as those of ants .	3	once
if there < was > the ' Islamic Republic of Canada ' with a billion or more people sitting on their northern border	how tough Washington would < be > was	1	if
"as I < walked > past him and his homeless buddies """	o < said > walked	3	as
because portfolio managers can < capture > higher rates sooner	Shorter maturities are < considered > a sign of rising rates capture .	0	because
Now , unless I 'm < missing > something here ,	missing I < 'm >	1	unless
even though it < failed >	and failed he did < say > he wanted you to take the morning after pill	2	even-though
even though it was < made > perfectly fine by any company that wanted to before then	A pharmaceutical company that campaigned and managed to get a licence to be the exclusive maker of a drug that helped prevent premature birth , made , immediately < upped > the price straight after getting it .	2	even-though
if you < want > to shower with kids	OK , want , there < is > something wrong with your brain .	1	if
As he < struggled >	struggled , the water < went > over his 8 - year - old son 's head .	3	as
if those < were > the formal reasons	I < am > not sure were but members of the commission have been interviewed today by various outlets	1	if
Since all healthcare is < rationed >	rationed , the question for me < is >	0	since
once I < graduate >	but graduate I will < take > my degree and I will go to countries like Germany , USA , Australia & Eastern European countries where graduates / students are respected for their willingness to learn and the effort and time they put in .	3	once
even though you < do > exactly what the OP says	Well unlike the ignorant azzhole with the Detroit Lions avatar , you at least < make > some points - do - which is ignore all the points that the 2 nd Phase of OWS is forwarding .	2	even-though
if all < goes > well after further inspections	and goes , , residents will < go > back into their properties	1	if
if Joe < wanted > him	so why did n't Tom < get > the job wanted ?	1	if
because it does < mean > a change in eating habits , dealing with stress etc	which < is > n't wholly helpful mean	0	because
if you < live > in a village like manchester , anywhere in the south west of england , or anywhere as a matter of fact in the rest of the UK	but to be honest live , all you will find < are > whites , but in london you will find ethnic people	1	if
As we 're < going > to Turkey and Syria at the end of this month , and expect to have a wonderful trip as independent travellers	going , I am definitely < making > a political statement -	3	as
if we < do > n't < do > something RIGHT NOW	that will < befall > us do	1	if
If your state < happens > to be successful	happens , that < is > , if it happens to grant you a safe living environment , support against life 's ills , and the right to express yourself , then of course you should feel a connection to it .	1	if
Even though your anxiety levels would < increase > for a duration	increase , they will gradualy < decrease > so hopefully	2	even-though
because I < did > n’t	I ’m < making > this blog did	0	because
because I 've < seen > it	but I < believe > now seen	0	because
if they do n't < want > you to have it	You are not < entitled > to it want and the gubmint should n't be able to take it by force and give it to you .	1	if
Once the traditional marriage < is > safe	is , then I < am > confident the people will get busy to provide a way for gay couples to enjoy the same protections as married people do , and I think that will pass with scarcely more than a murmor .	3	once
Just as the snooty continentals eventually < came > to admire the gormless Hollywood actor	came , there < is > a grudging willingness to rethink some prejudices about the inarticulate Texan .	3	just-as
as the debate over the drug 's dangers < continues >	And , continues , figures released by the National Treatment Agency for Substance Abuse < show > that more than 24,500 people are in drug treatment programmes for cannabis – the highest ever .	3	as
even though they do < have > some witnesses against the police officers	and have there < are > a lot more that still < are > not talking	2	even-though
If a Republican < wins > in November	wins the cycle will < repeat > itself .	1	if
because unemployment benefits have < run > out or they find they can get buy without working	who have < given > up run	0	because
If he < wants > to be a ' shock jock '	wants he can n't be < pussying > out every time the public raises an eyebrow .	1	if
as it was < lobbed >	Anyway , while Ms Porter was mid sentence and we were just about to nod off , we < heard > a squeal of pure joy lobbed	3	as
If a crime is < committed > surely	committed they < are > duty - bound to investigate and prosecute , rather than just leaving it up to the victim to decide ?	1	if
whilst English and Welsh students are < having > to dish out up to £ 9000 each year	how the Government can still < provide > Scottish students with free university fees , having	3	whilst
if this year 's measures < are > effective	According to estimates , after three years in a row of bumper harvests , are , agriculture still < has > hope of achieving a good harvest .	1	if
because Russia did not < pose > the same threat for post - War in Europe as in Japan	but even if that were not the case we would not have < used > them in Europe pose	0	because
since he < is > a moderate who can appeal to swing voters	who can < beat > Obama , is	0	since
if they < see > us being dishonest and easily corrupted	our children will < grow > to be honorable people see	1	if
if I < were > to pass before she does so that she will have something to care for herself with	that she will < receive > part of my retirement check were	1	if
while he < was > Gov.	Florida < did > well was	3	while
because she < lives > with her mum who does nt work	who < gets > £ 30 lives	0	because
because the United States and Russia have < abstained > from such tests after testing anti - satellite technology in the 1980 s	U.S. officials were < dismayed > by the Chinese test abstained .	0	because
if Barry < needed > a shot or two of something to keep going	So needed , I do n't < think > he should be punished for that .	1	if
because it was the least < prepared >	that was hardest < hit > in large part prepared	0	because
if it < mattered > to you	You would n't < know > the truth mattered .	1	if
if you even < tried > to read the language	But tried , you would < see > that is what will happen .	1	even-if
because you < want > to be more productive at work	< Are > you abstinent want ?	0	because
if i did not < care >	I would n't even < say > anything care ...	1	if
since otherwise nothing would ever get < diagnosed >	but if they happen in a lot of cases it < 's > worth noting , diagnosed	0	since
since you are < taking > it seriously	But , taking , the least you could do < be > honest with yourself .	0	since
if he does n't < listen >	and , listen , some of them < are > ready to make him	1	if
if this forum < existed >	that existed then there would < be > posts discussing the slow leak of information as a CT at the time	1	if
since they could not < cope > with a large volume of project tasks	"but cope , they were already < cooperating > with some migrant worker units , in other words the familiar "" contracting gangs """	0	since
If the payroll tax < goes > back up 2 % to it 's original amount	goes , it would < suck > but it would n't be the end of the world to me .	1	if
If the cultivation < continues >	continues unrestrained Kashmir may soon < become > notorious for narcotics .	1	if
if they < get > in	the GOP would < be > any different get	1	if
if the average food yield is < reduced > by any of many catastrophes	which could < save > billions of lives reduced , so we should do pilot programs in several kinds of biomass	1	if
if the trend < continues >	that China will < catch > up with the EU in 090000 or 100000 continues	1	if
if the two teams < draw > with 7 : 7	According to the rules discussed and agreed upon by both sides , draw , then the final result will be < determined > by the result of the competition between Weiping Nie of the Chinese team and Xunxuan Cao of the Korean team .	1	if
even though he could n't < see > it clearly through the branches	he < knows > it was n't a bear , see	2	even-though
if they < listened > to the statements made by police and prosecutors , many of which were false	why people would have < thought > Knox and Sollecito guilty listened	1	if
because the crash is still being < investigated >	The official < spoke > on condition of anonymity investigated .	0	because
Though if it < were >	were , I < see > zero reason to limit it to college students age 18 - 25 .	1	if
If American hegemony < fails > , as appears inevitable	fails , what will < be > its replacement ?	1	if
"if you < think > "" we 're broke """	And , think , you have n't been < paying > attention .	1	if
while she < raised > our children	because raised while I was off defending our country she would < have > no access to my Social Security nor my military retirement	3	while
although chances < are >	are , I would have < spent > all the money on parties anyway	2	although
If we < recognize > that roads primaarily benefit businesses	recognize then we should < do > two things :	1	if
if i < complete > parole	but complete , i might finally < be > free to travel without being a fugitive , and then i can just become transient indefinitly , and that 's my dream .	1	if
If churches < allow > gay marriage	allow , they are < going > against their views and beliefs , just to allow a gay couple to have a ' fancy church wedding ' .	1	if
if Obama ever < got > to appoint a liberal inflationist Fed Chairman	God < help > us all got .	1	if
If you < check > England 's murder rate	check , you 'll < find > it does not support your assertion .	1	if
once you < do > it correctly	but if you get the technique right , < do > , you can < do > it again	3	once
if they < came > here illegally	they are not < wanted > came .	1	if
If this is < signed >	signed , it will be legallly < binding > , will n't it ?	1	if
"because it < hinders > fixing what their "" every man is an Island "" philosophy that is tearing apart the fabric of society"	It really < is > sad , in it s most basic sense , hinders .	0	because
