baby boomers on both sides of the Pacific have a lot in common.	"Judging from the Americana in Haruki Murakami's ""A Wild Sheep Chase"" (Kodansha, 320 pages, $18.95),"	1	when
The Senate-House conference committee is used 	a bill is passed by the House and Senate in different forms.	1	when
Mrs. Yeargin admitted she had given the questions and answers two days before the examination to two low-ability geography classes.	Confronted,	3	when
he said it was coincidental.	referred to the questions that matched,	3	when
"Mr. Yamamoto said, ""this will be a minus factor.""   T"	Asked whether the bidding flap would hurt U.S.-Japan relations,	3	when
it would have had a net loss of $3.1 million, or seven cents a share.	Not counting the extraordinary charge,	1	when
but 	"a retailer in Southern California asked, ""Is that wholesale or retail?"	3	when
But 	the contract reopened,	3	when
Western Union dropped the lawsuit and agreed never to enter the telephone business -- the basis for the company's current plight.	Bell established that the Berliner patent caveat was registered 10 days before Edison's application,	3	when
"Mr. McFall, currently chairman, said, ""An implication that we failed to return investor funds is inappropriate and inaccurate."	Reached at his office,	3	when
"You may come by the agency to read but not copy either manually or by photocopying,"" a Voice official explained "	I asked.	3	when
Buick came in fourth among U.S. cars and in the top 10 of all cars,	the company asked members in a mailing which cars they would like to get information about for possible future purchases,	3	when
they are betting against each other on future rates.	two parties engage in an interest-rate swap,	1	when
the traders place orders via computers to buy the basket of stocks (such as the 500 stocks that constitute the Standard & Poor's 500 stock index) in whichever market is cheaper and sell them in the more expensive market;	it occurs,	3	when
"the fundamental stock pickers scream ""foul"" on program trading "	the markets decline,	3	when
he had just recouped the $5,000 he lost in the 1987 crash 	he lost more money last Oct. 13.	3	when
Superconductors conduct electricity without resistance 	cooled.	1	when
Voters generally agree 	they are given a chance to decide if they want to sink their own tax dollars into a new mega-stadium.	3	when
"On the Big Board, a ""side car"" is put into effect "	the S&P futures rise or fall 12 points.	1	when
swapping their stocks for futures 	profitable to do so.	1	when
earnings per share were $2.47, up 7.4% from $2.30 in fiscal 1988.	Excluding one-time additions to profit in each year,	1	when
mindful of accepting anything of value from those I was writing about, I declined.	offered a free trip from the Bronx, Wedtech's home, to Washington, D.C., by one of Wedtech's principals,	3	when
and then expressing surprise 	thieves walk by to scoop it up.	3	when
and it could drop an additional 2.5 feet 	the flow of the Missouri River is slowed,	3	when
The U.S., along with Britain and Singapore, left the agency 	its anti-Western ideology, financial corruption and top leadership got out of hand.	3	when
730 responded.	he sent letters offering 1,250 retired major leaguers the chance of another season,	3	when
that 	he left baseball in 1978,	3	when
But 	market interest rates move up rapidly,	1	when
But as the French embody a Zen-like state of blase 	it comes to athletics 	1	when
Coke has tended to increase its control 	results were sluggish in a given country.	3	when
to be paid 	Healthcare successfully completes asset sales.	3	when
And 	he ran unsuccessfully for a state appellate court seat in 1983,	3	when
But 	the judge received his payment book,	3	when
How is a travel agent going to sell a holiday 	he cannot guarantee a return flight?	1	when
and dropped the sideline 	his best brood mare died.	3	when
An earlier plan,	Eastern changed its business plan.	3	when
I picked up the phone and said, `Why don't you come to us?	the announcement came out,	3	when
"Mr. Lee said, ""I would think that the Soviets face a deeper dilemma because they have been more in blinkers than the Chinese -- I mean keeping their people cut off from the outside world."""	Asked if the Soviets, like Chinese officials, won't one day face a similar conflict between the desire to liberalize economically and yet retain political control,	3	when
