they < disagree > with a politician	but disagree , they < become > latte drinking elitists out of touch with the hard working common man	1	if
just the statute of limitations has n't < run > out on that one	While I 'm at it , I 'm < pardoning > him for any role he might have had in Iran - contra run .	1	in-case
you < get > it scanned by ultrasound	get , a doctor may < find > the culprit , and prescribe what 's needed .	1	if
the inner container < failed > explosively	A waterfilled concentric container would < have > a good shot at containing scrapenel failed .	1	in-case
politically it < is > very harmful	He would n't have < approved > on a case like this is	0	because
Disney < entered > Hong Kong	However , entered , the Ocean Park , sharing the same city as Disney , has < felt > the pressure of competition .	0	since
tecnology is < doing > the jobs they once did	when 80 % or more of the population < is > n't employable doing	0	because
Northern Ireland < left >	they 'd < change > the name back to that left	1	if
Iran has not yet < produced > atomic bombs	The crisis over Iran 's atomic program < escalates > produced .	2	though
she < says >	says yes i 'll < put > a photo up of me and her together , if she says no then a photo of me crying maybe	1	if
the cultivation < continues >	continues unrestrained Kashmir may soon < become > notorious for narcotics .	1	if
i < went > on the sunbeds	whether i would < burn > went	1	if
‘ no - shows ’ are < becoming > an issue	Port - au - Prince airport is < operating > at peak capacity with an average of 120 incoming flights per day , becoming .	2	although
someone < is > my friend	Personally , is , I am < going > to deal with the situation on a person to person level .	1	if
we < did > n't	the Germans would < come > up with the bomb did	1	if
they < operated > in a free market	operated why were they < required > to cover so many different things under penalty of law ?	1	if
modification of the NSG Guidelines < were > to take place along the lines proposed by Israeli officials	were the nuclear nonproliferation regime would be considerably < enhanced > .	1	if
for the ordinary people < dared > to upset government officials	dared , they would be < cracking > eggs against rocks	1	if
they < surrender >	that Lao troops < promised > rebels amnesty and a living area surrender but has received conflicting reports as to whether the Lao Government has upheld this agreement	1	if
Russia did not < pose > the same threat for post - War in Europe as in Japan	but even if that were not the case we would not have < used > them in Europe pose	0	because
you < have > a sarcastic sense of humor	have you should < listen > to Suits .	1	if
Malaysia < purchases > cnpmiec 's medium - range ks - 1 A missiles	that under the pact between China National precision Machinery Import and Export Corp. and two local companies , cnpmiec would < transfer > technology on production of the FN - 6 shoulder - launched missiles purchases	1	if
she is plainly < sitting > in front of them	One of the film 's vignettes < shows > two parents who insist on declaring their daughter a missing person , sitting .	2	although
imperialist America sincerely < wants > to make friends with China	wants , it must < display > its sincerity and let the Chinese people see actual actions and results .	1	if
they < come > home in victory	when the military < comes > home come	1	if
